name1,name1Lower,name2,name3,name4,name5,imgPresent,img,recipeAccess,recipeCount,soilTempMinF,soilTempMaxF,spaceMinIn,spaceMaxIn,harvestMinWks,harvestMaxWks,compat1,compat2,compat3,compat4,compat5,compat6,compat7,compat8,compat9,compat10,compat11,compat12,compat13,compat14,avoidInstructions,culinaryHints,culinaryPreservation,url
Jerusalem Artichoke,jerusalem_artichoke,Sunchoke,,,,0,,0,27,46,59,12,18,15,20,tomato,cucumber,,,,,,,,,,,,,,"Scrape clean or peel add a tsp of lemon or vinegar to the water to stop the tubers browning. Steam, boil, or use in artichoke soup make with artichokes and some stock. Caution - because they contain 'resistent starch' Jerusalem Artichokes are a great promoter of flatulence in some individuals.",,http://gardenate.com/plant/Jerusalem%2BArtichokes
Kale,kale,Borecole,,,,0,,0,267,46,86,20,39,7,9,Dwarf bush bean,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,camomile,,,,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry, mustard",Strong flavoured and nutritious vegetable. Wash well and chop finely then steam. A tomato or cheese sauce will mask the flavour if too strong.,,http://gardenate.com/plant/Kale
Kohlrabi,kohlrabi,,,,,1,kohlrabi.png,1,16,46,86,4,10,7,10,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,chamomile,,,,,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry, mustard","Use when young. Scrub well, cut off leaf stalks, roots and woody parts. Young ones do not need peeling. Can be grated raw for salads or cut in pieces and steam. Use in casseroles.",,http://gardenate.com/plant/Kohlrabi
Leek,leek,,,,,1,leek.png,1,281,46,86,4,8,15,18,carrot,,,,,,,,,,,,,,,"Trim off the roots and any damaged leaves. Young ones can be used whole with some of the green leaves. Wash thoroughly as the earth tends to get inside. Chop and fry in butter or olive oil until tender. Can be added to casserole meals, allowing time to cook through. Leek and mushroom make a tasty combination for a tart filling.",,http://gardenate.com/plant/leek
Lemon Balm,lemon_balm,Sweet balm,,,,0,,0,5,50,77,10,,8,10,,,,,,,,,,,,,,,,"As a herb tea or added to fruit punch. Can be used to replace lemon, used sparingly, in desserts and with stewed fruit. Chop leaves into salad. Better used fresh than dried.",,http://gardenate.com/plant/Lemon%2BBalm
Lettuce,lettuce,,,,,1,lettuce.png,1,316,46,81,8,12,8,12,carrot,onion,strawberry,beet,brassica,Radish,Marigold,Borage,Chervil,Florence fennel,leek.,,,,"Parsley, Celery","Wash well, spin or shake dry and use in salads and sandwiches",,http://gardenate.com/plant/Lettuce
Luffa,luffa,Loofah,plant sponge,,,0,,0,0,68,86,18,30,11,12,pea,bean,onion,Sweetcorn,,,,,,,,,,,potato,The luffa flower and fruits are soft and edible when young and are sometimes cooked and eaten like squash or okra. Loofah has been an important food source in many Asian cultures. The leaves and vines should not be eaten.,,http://gardenate.com/plant/Luffa
Marrow,marrow,,,,,0,,0,12,68,95,35,47,12,17,pea,bean,onion,Sweetcorn,,,,,,,,,,,potato,"Good, cut in thick slices, seeds removed and stuffed with mince or spicy vegetable mix then baked in the oven",,http://gardenate.com/plant/Marrow
Mint,mint,Garden mint,,,,1,mint.png,1,895,70,75,12,,8,12,cabbage,tomato,,,,,,,,,,,,,,Mint adds a fresh flavour if chopped and sprinkled over salads. And is traditionally used mixed with vinegar and sugar to make mint sauce for lamb.,,http://gardenate.com/plant/Mint
Mizuna,mizuna,Japanese Greens,Mitzuna,Mibuna,,0,,0,20,50,86,6,8,5,7,Radish,lettuce,,,,,,,,,,,,,,"Leaves used raw, stir-fried, in soups. Young flowering stems can be cooked like broccoli.",,http://gardenate.com/plant/Mizuna
Mustard green,mustard_green,Gai choy,,,,0,,0,54,50,95,14,24,5,8,Dwarf bush bean,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,camomile,,,,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry",Use young leaves in salad for a 'spicy kick'. Add to stir fry.,,http://gardenate.com/plant/Mustard%2Bgreens
Okra,okra,Ladyfinger,gumbo,,,1,okra.png,1,57,68,95,14,24,11,14,bell pepper,chilli pepper,Eggplant,,,,,,,,,,,,,Use pods fresh or dried in soups or casseroles or as a boiled vegetable.,,http://gardenate.com/plant/Okra
Onion,onion,,,,,1,onion.png,1,3550,46,86,2,4,25,34,Lemon Balm,Borage,carrot,beet,chard,Lettuce,Amaranth,,,,,,,,"pea, bean",Brown onion roasted whole with other vegetables are delicious. Red onion add colour to salads or stir-fry.,,http://gardenate.com/plant/Onion
Oregano,oregano,Pot Marjoram,,,,1,oregano.png,1,582,64,77,6,,6,8,Broccoli,,,,,,,,,,,,,,,"Used to flavour tomato dishes, soups, sauces and Greek dishes like moussaka",,http://gardenate.com/plant/Oregano
Pak Choy,pak_choy,Pak choi,,,,0,,0,0,70,86,12,16,6,11,Dwarf bush bean,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,chamomile,coriander,lettuce,potato,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry, mustard","You can treat Pak Choy as ""cut and come again "" or use the whole plant in one go, whichever suits your needs.",,http://gardenate.com/plant/Pak%2BChoy
Parsley,parsley,Curly leaf parsley ,Flat leaf parsley,Italian parsley,,0,,0,1969,50,86,8,12,9,19,carrot,chive,tomato,Asparagus,,,,,,,,,,,potato,"Use the leaves and stems to add flavour and colour. Can be cooked in dishes such as ratatouille, Traditionally used in white sauce.",,http://gardenate.com/plant/Parsley
Parsnip,parsnip,,,,,1,parsnip.png,1,102,43,70,3,4,17,20,chard,Bell pepper,pea,potato,bean,radish,Garlic,,,,,,,,"Carrot, Celery, brassica",Peel and roast with vegetables or meat. The sweetish flavour of parsnips enhances most other vegetables.,,http://gardenate.com/plant/Parsnip
Pea,pea,,,,,1,peas.png,1,1756,46,75,2,3,9,11,potato,,,,,,,,,,,,,,,Raw straight from the pod in the garden is best! Raw in salads. Steamed lightly. Small pods can be steamed whole.,,http://gardenate.com/plant/pea
Potato,potato,,,,,1,potato.png,1,1064,50,86,12,16,15,20,pea,bean,brassica,Sweetcorn,Fava bean,nasturtium,marigold,,,,,,,,"Cucumber, Pumpkin, Sunflower, tomato, Rosemary","Peeled or unpeeled and scrubbed, potato can be boiled, baked, fried and roasted. - The only way they are not used is raw. Keep in a pot of cold water after peeling, otherwise they will discolour.",,http://gardenate.com/plant/Potato
Pumpkin,pumpkin,,,,,1,pumpkin.png,1,280,68,90,35,47,15,20,sweetcorn,,,,,,,,,,,,,,potato,"Cut up, remove the skin and roast with other vegetables or meat. Young crisp shoots with young leaves can be cooked and eaten - stewed in coconut milk they are popular in Melanesia. Remove any strings and tough parts and stew until tender, or cook as a vegetable in boiling water 3-5 minutes.",,http://gardenate.com/plant/Pumpkin
Radish,radish,,,,,1,radish.png,1,442,46,86,1,2,5,7,Chervil,cress,lettuce,leek,spinach,strawberry,tomato,,,,,,,,"Hyssop, gherkins",Wash well and remove leaves and roots. Use raw in salads or on their own with bread and butter.,,http://gardenate.com/plant/Radish
Rhubarb,rhubarb,,,,,1,rhubarb.png,1,65,41,68,35,,,52,brassica,Broccoli,Cauliflower,,,,,,,,,,,,,"Pick stems about the thickness of your finger. Large stems will have tough 'strings' down the length of them. Use in pies, crumbles, fools and jams. Rhubarb goes well with orange. Will usually need sweetener.",,http://gardenate.com/plant/Rhubarb
Rocket,rocket,Arugula/Rucola,,,,1,arugula-rocket.png,1,4,50,77,6,8,3,5,Lettuce,,,,,,,,,,,,,,,Use in salads and stir-fry,,http://gardenate.com/plant/Rocket
Rockmelon,rockmelon,Canteloupe,,,,0,,0,1,68,90,16,24,10,16,Sweetcorn,Sunflower,,,,,,,,,,,,,potato,Cut in half and scoop out and discard the seeds. Sprinkle with some ground ginger or serve plain.,,http://gardenate.com/plant/Rockmelon
Rosella,rosella,Queensland Jam Plant, Roselle,,,0,,0,0,68,95,,55,21,25,Feverfew,Coriander,Nasturtium,Hyssop,,,,,,,,,,,,"The large flower produce a crimson enlarged calyx. Use the fleshy red calyx, without the green seed pod to make jam or jelly.",,http://gardenate.com/plant/Rosella
Rosemary,rosemary,,,,,1,rosemary.png,1,597,59,68,39,59,,52,bean,carrot,cabbage,Sage,,,,,,,,,,,potato,"Leaves sprinkled on roast potato, meat and barbeque food make them extra tasty. Rosemary can also be used to add flavour to vinegars and oils.",,http://gardenate.com/plant/Rosemary
Rutabaga,rutabaga,Swede,,,,0,,1,18,45,77,4,8,10,14,pea,bean,chive,,,,,,,,,,,,potato,Use when about the size of a tennis ball. The leaves can be cooked like cabbage when young.,,http://gardenate.com/plant/Rutabaga
Sage,sage,Common Sage,,,,1,sage.png,1,647,50,77,20,,,57,Broccoli,Cauliflower,Rosemary,Cabbage,carrot,,,,,,,,,,,The leaves are used to flavour stuffing and meat dishes. Sage keeps well if dried.,,http://gardenate.com/plant/Sage
Salsify,salsify,Vegetable oyster,,,,0,salsify.png,0,1,50,86,6,8,14,21,bean,brassica,carrot,Celeriac,Endive,Kohl-rabi,leek,Lettuce,Alliums,Spinach,,,,,,Wash and scrape the roots then boil before frying or roasting. They can also be used to make a creamed soup.,,http://gardenate.com/plant/Salsify
Bean Herb,bean herb,Bean Herb,,,,0,,0,0,64,86,10,,6,10,bean,onion,,,,,,,,,,,,,,"Usually added to pea, bean or lentils. It has a slightly spicy flavour.",,http://gardenate.com/plant/Savory%2B-%2Bsummer%2Bsavory
Winter Savory,winter_savory,Savory,,,,0,,0,22,64,86,12,16,6,10,bean,,,,,,,,,,,,,,,Can be used as seasoning for bean and other green vegetables.,,http://gardenate.com/plant/Savory%2B-%2Bwinter%2Bsavory
Shallot,shallot,Eschalot,,,,1,shallot.png,1,1074,46,86,6,8,12,15,Lemon Balm,Borage,carrot,beet,chard,Lettuce,Amaranth,,,,,,,,"pea, bean","Use in any recipe instead of onion. Can be cooked whole, braised gently with other vegetables.",Can be pickled.,http://gardenate.com/plant/Shallots
chard,chard,Mangold,,,,0,,0,0,50,86,6,12,7,12,bean,brassica,cauliflower,,tomato,onion,garlic,chive,lavender,parsnip,allium,,,,"Corn, melon, cucurbit cucumber, squash, melons, gourds, most herbs, potato.",Wash thoroughly and inspect the back of the leaves for insects. Chop and put in a saucepan with very little water  or just what is on the leaves. Cover and cook over a low to medium heat until the leaves collapse. A small amount of nutmeg enhances the flavour.,,http://gardenate.com/plant/chard
Snow pea,snow_pea,Sugar pea, Mangetout,Chinese Pea,,0,,0,32,46,68,3,4,12,14,carrot,Endive,Florence fennel,lettuce,brassica,,,,,,,,,,"chive, Alliums, tomato",Cook whole or eat raw in salads,,http://gardenate.com/plant/Snow%2Bpea
Spinach,spinach,English spinach,,,,1,spinach.png,1,335,50,77,8,12,5,11,Fava bean,cabbage,cauliflower,celery,eggplant,onion,pea,strawberry,santolina,,,,,,,Use young leaves in salad. Steam and add to other vegetables.,,http://gardenate.com/plant/Spinach
Spring onion,spring_onion,Scallion,Bunching onion,Welsh onion,,0,spring-onion.png,1,868,50,68,,,8,12,Lemon Balm,Borage,carrot,beet,chard,Lettuce,Amaranth,,,,,,,,"pea, bean",Can be eaten raw in salads. Often used chopped and sprinkled on Asian stir-fry.,,http://gardenate.com/plant/Spring%2Bonion
Squash,squash,Crookneck,Pattypan,Summer squash,,1,squash.png,1,348,70,95,24,31,7,8,sweetcorn,,,,,,,,,,,,,,,Use whole or sliced. Steam or fry.,,http://gardenate.com/plant/Squash
strawberry,strawberry,,,,,1,strawberry.png,1,260,50,68,12,39,,52,,,,,,,,,,,,,,,"If you are using rotation beds, avoid putting strawberries where you have grown tomato, potato, pepper or eggplant","Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding with raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.Straight from the garden, warmed by the sun is best.",,http://gardenate.com/plant/Strawberries%2Bfrom%2Bseeds
Strawberry Plant,strawberry_plant,,,,,0,,0,0,50,68,12,39,,11,,,,,,,,,,,,,,,"If you are using rotation beds, avoid putting strawberries where you have grown tomato, potato, pepper or eggplant","Pick strawberries and eat them straight from the garden - warm from the sunshine, delicious! Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding which also has raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.",,http://gardenate.com/plant/Strawberry%2BPlants
Sunflower,sunflower,,,,,1,sunflower.png,1,106,50,86,8,12,10,11,cucumber,Melons,Sweetcorn,Squash,,,,,,,,,,,potato,Use seeds fresh or toasted,,http://gardenate.com/plant/Sunflower
sweetcorn,sweetcorn,Maize,,,,0,,0,5,61,95,8,12,11,14,bean,cucumber,melons,pea,pumpkin,squash,amaranth,,,,,,,,Celery.,Piick and cook within an hour. Remove the silks and outer leaves. Best flavour if microwave about 4 minutes per cob. Can be barbequed wrapped in foil. Cook large amounts in a stock pot until test soft. Sprinkle with black pepper and dip in butter.,,http://gardenate.com/plant/Sweet%2Bcorn
Sweet Marjoram,sweet_marjoram,Knotted marjoram,,,,0,,0,0,50,77,8,,8,10,bell pepper,chilli,Sage,,,,,,,,,,,,,"Sweet Marjoram has a mild oregano flavor with a hint of balsam. Sweet Marjoram can be used as a substitute for oregano in sauces for mediterranean style pizza, lasagna, and eggplant parmigiana.",,http://gardenate.com/plant/Sweet%2BMarjoram
Sweet Potato,sweet_potato,Kumara,,,,0,,0,227,63,95,16,24,15,17,,,,,,,,,,,,,,,,"Use mashed, boiled, roasted, baked or fried. Or use in soups, pies, casseroles, curries and salads.",,http://gardenate.com/plant/Sweet%2BPotato
Taro,taro,Dasheen,cocoyam,,,1,taro.png,1,3,68,95,31,,,28,,,,,,,,,,,,,,,,"Taro can be cooked like potato, boiled, roasted, fried or steamed. It is not eaten raw.",,http://gardenate.com/plant/Taro
Thyme,thyme,Common thyme,,,,0,,0,1182,59,77,10,12,42,52,oregano,sage,Eggplant,Cabbage,,,,,,,,,,,,"Common, lemon, orange and caraway thyme are used in cooking. Thyme is mainly used with meat and fish but also tastes good with vegetables such as mushrooms, bean and carrot. The flavour can be very intense so thyme is best used sparingly.",,http://gardenate.com/plant/Thyme
Tomatillo,tomatillo,,,,,1,tomatillo.png,1,93,70,81,28,,10,14,,,,,,,,,,,,,,,,Use in spicy sauces with or to replace tomato. They are the base of salsa verde in Mexican cookery.,,http://gardenate.com/plant/Tomatillo
Tomato,tomato,,,,,1,tomato.png,1,1985,61,95,16,24,8,17,Asparagus,Chervil,Carrot,Celery,chive,Parsley,Marigold,Basil,,,,,,,"Rosemary, potato, Fennel","Use in sauces, with fried meals, in sandwiches.",Can be frozen whole or in pieces.,http://gardenate.com/plant/Tomato
Turnip,turnip,,,,,1,turnip.png,1,87,54,86,5,7,6,9,pea,bean,chive,Spinach,carrot,Chicory,,,,,,,,,"potato, tomato",Grate young turnips and use raw in salads. Use older turnips in casseroles and stews.,,http://gardenate.com/plant/Turnip
Watermelon,watermelon,,,,,1,watermelon.png,1,82,70,95,24,30,12,17,Sweetcorn,Sunflower,,,,,,,,,,,,,potato,Cut up and eat in slices. Use to make fruit drinks. Use in fruit salads.,,http://gardenate.com/plant/Watermelon
Yacon,yacon,Sunroot,,,,0,,0,0,50,77,,39,,25,,,,,,,,,,,,,,,,"The large roots can be used raw in salads peel and chop. Sprinkle with lemon juice to prevent browning. 'In the Andes, they are grated and squeezed through a cloth to yield a sweet refreshing drink. The juice can also be boiled down to produce a syrup. In South America the juice is concentrated to form dark brown blocks of sugar called chancaca.' Green Harvest",,http://gardenate.com/plant/Yacon
Zucchini,zucchini,Courgette, Summer squash,,,1,zucchini.png,1,283,70,95,20,35,6,9,Corn,bean,nasturtium,parsley,chard,tomato,,,,,,,,,potato,Zucchini are best picked or cut off the stem at about 15cm / 6 .Pick frequently to keep the plant producing new flower.,,http://gardenate.com/plant/Zucchini